,stationTriplet,latitude,longitude,huc
3117,1324:CO:SNTL,37.93571,-106.98192,130100010602
3123,1032:CO:SNTL,40.70794,-106.00727,101800010603
3132,1290:ID:SNTLT,42.42817,-116.84653,170501041704
3152,1225:UT:SNTL,40.67505,-111.21765,160201010103
3157,1217:UT:SNTL,39.49667,-111.72508,160300050202
3167,911:WA:SNTL,47.30218,-121.60475,171100120102
3169,2029:ID:SNTL,43.28863,-116.8431,170501030604
3178,933:NM:SNTL,35.23658,-108.27404,130202070203
3211,1254:NM:SNTL,36.07196,-105.62949,130201010905
3226,1199:NV:SNTLT,40.7255,-115.2798,160600071102
3252,1309:UT:SNTL,38.67101,-112.3305,160300030105
3257,973:AK:SNTL,64.54988,-163.48399,190501041103
3260,1220:OR:SNTLT,42.16528,-120.24747,171200070305
3274,939:CO:SNTL,39.02611,-106.08063,101900010202
3300,929:MT:SNTL,45.87395,-110.92783,100700030403
3306,1015:WY:SNTL,41.40107,-107.2574,101800020802
3311,1100:CO:SNTL,38.69985,-106.36805,110200010501
3334,1172:NM:SNTL,36.85967,-106.22657,130100050301
3361,922:NM:SNTL,35.77154,-105.78487,130202010102
3366,1280:UT:SNTL,39.92076,-111.71802,160202010301
3371,1128:CO:SNTL,38.2856,-106.37085,130100040306
3374,1231:WA:SNTL,45.98797,-120.67734,170701060301
3380,1068:WA:SNTL,47.15992,-121.42172,171100130104
3382,1251:CO:SNTL,40.13632,-105.58486,101900050102
3390,915:ID:SNTL,44.84618,-113.83732,170602040604
3412,1043:WA:SNTL,48.86133,-118.39843,170200021705
3415,1330:AK:SNTL,65.93772,-149.8631,190804040306
3449,1060:CO:SNTL,37.50356,-108.11405,140300020206
3464,1219:OR:SNTLT,42.3572,-120.22522,171200070401
3481,1169:NM:SNTL,36.78765,-105.2392,130201010102
3485,1034:NM:SNTL,33.40682,-105.79467,130600080103
3495,1205:NV:SNTL,39.23305,-114.2429,160203010806
3517,1257:WA:SNTL,46.64336,-121.83044,170800040505
3522,912:WA:SNTL,47.68433,-121.61007,171100100503
3527,1286:MT:SNTL,45.36526,-113.71834,100200040308
3537,926:ID:SNTL,43.72718,-113.83402,170402180102
3540,1235:NV:SNTLT,40.4467,-115.5114,160401030403
3545,1167:OR:SNTL,44.30325,-122.04053,170900040203
3551,1342:AK:SNTLT,59.18763,-158.76621,190303060205
3578,1334:AK:SNTLT,61.8531,-149.21818,190205050403
3580,927:AZ:SNTL,35.34179,-111.65084,150200160201
3581,1208:NV:SNTL,41.33981,-116.98044,160401090203
3585,1132:WY:SNTL,44.34847,-107.0136,100902060103
3592,985:WA:SNTL,46.23713,-117.39435,170601030202
3600,773:CO:SNTL,37.96647,-105.53671,110200011206
3603,925:OR:SNTL,45.44575,-122.03125,170800010504
3635,1117:UT:SNTL,40.83868,-110.00527,140401060501
3647,2044:AK:SNTL,61.65653,-149.12926,190204020709
3652,984:WA:SNTL,46.18287,-117.54155,170601030201
3672,1203:NV:SNTL,41.408,-115.4464,170501020101
3693,1258:CA:SNTL,41.98609,-120.71574,180102040201
3694,993:CA:SNTLT,41.9869,-120.7151,180102040201
3729,1009:MT:SNTL,46.9269,-110.90198,100301030801
3730,1311:MT:SNTL,48.68005,-114.66365,170102100501
3732,901:MT:SNTL,46.99521,-113.92667,170102040102
3741,1095:AK:SNTL,61.08042,-146.30202,190202011101
3758,1194:NV:SNTL,41.48953,-118.99663,160402021301
3759,1052:CA:SNTL,38.39747,-119.53522,160503020203
3762,1078:OR:SNTL,42.78637,-121.97715,180102010602
3768,1249:UT:SNTL,38.048,-111.33981,140700030406
3780,1248:UT:SNTL,37.59711,-112.92949,160300060306
3781,975:WA:SNTL,48.57142,-120.78267,171100050503
3784,1077:OR:SNTL,42.41323,-121.68002,180102040802
3790,1012:WA:SNTL,46.1638,-122.18402,170800020304
3808,1247:UT:SNTL,39.74104,-113.98262,160203060804
3814,1340:OR:SNTLT,44.28005,-119.73648,170703030702
3824,1168:NM:SNTL,36.58195,-105.45617,130201010701
3825,1307:NM:SNTL,36.54099,-105.35944,130201010602
3839,1266:AK:SNTL,60.98347,-153.91866,190304052303
3844,1013:UT:SNTL,41.793,-111.54605,160102030303
3854,1202:NV:SNTL,40.97852,-115.17215,160401010704
3855,1201:NV:SNTLT,40.96535,-115.16458,160401010704
3881,1226:UT:SNTL,39.23803,-111.51998,160300040501
3901,818:WY:SNTL,44.81243,-107.41017,100901010205
3903,1097:UT:SNTL,39.67712,-110.43395,140600070903
3907,1328:AK:SNTLT,60.74667,-149.12755,190203020406
3909,899:WA:SNTL,47.33198,-121.46975,171100120101
3919,1136:NV:SNTL,41.3187,-116.3408,160401060202
3923,2080:AK:SNTL,63.32529,-143.03834,190803020903
3925,1044:OR:SNTL,43.22718,-122.42537,171003010404
3927,1089:AK:SNTL,62.62918,-150.7741,190205020903
3929,934:NM:SNTL,36.47498,-105.19534,110800020107
3943,1113:UT:SNTL,41.88573,-111.56918,160102030304
3962,1083:NM:SNTL,36.1279,-105.52706,130201010903
3970,1171:WA:SNTL,48.07471,-120.84989,170200110302
3980,1238:OR:SNTLT,42.03597,-118.24008,171200090201
3983,1200:NV:SNTLT,41.0457,-115.0965,160401010702
4014,1230:OR:SNTLT,45.3961,-117.3892,170601050203
4066,1227:UT:SNTL,39.4155,-111.2491,140600090201
4072,1090:AK:SNTL,65.3671,-146.592,190804020304
4082,1141:CO:SNTL,38.99071,-106.74504,140200010101
4083,1055:AK:SNTL,61.19112,-145.64807,190201040202
4089,1098:UT:SNTL,41.86425,-111.50603,160102010103
4094,1005:CO:SNTL,37.6148,-105.37322,130100020604
4097,1237:OR:SNTLT,42.46573,-118.76583,171200080901
4099,1137:NV:SNTL,39.4495,-115.9834,160600051503
4100,1017:NM:SNTL,36.02653,-106.81361,130202020102
4109,979:ID:SNTL,44.37665,-116.3366,170501240902
4114,1294:ID:SNTLT,42.49491,-116.43665,170501040904
4152,1188:CO:SNTL,37.88248,-107.36428,140200020602
4180,974:WA:SNTL,47.94485,-123.42594,171100200506
4203,909:WA:SNTL,48.8661,-121.78976,171100040103
4204,1160:CO:SNTL,37.51968,-107.32139,140801020203
4213,1288:OR:SNTLT,45.08467,-117.48167,170502031002
4236,1147:NV:SNTL,39.00995,-114.31021,160203010801
4252,1213:NV:SNTL,38.94557,-115.37922,150100110302
4268,1042:CO:SNTL,40.201,-105.6025,101900050202
4306,1317:CA:SNTL,38.27203,-119.45124,160503020103
4333,1164:UT:SNTL,40.47733,-111.04469,160202030104
4351,1228:UT:SNTL,39.13233,-111.35685,140600090303
4370,1197:UT:SNTL,37.74797,-112.77495,160300060202
4388,1033:CO:SNTL,40.79492,-106.59544,101800010202
